Names	BasekV	Nice Name
47261RAFF_CAP	110	Raffeen
4761RSY	110	Ringaskiddy
5181RBG	110	
5481WHI	110	Whitegate 
1021AA	110	Ardnacrusha 
1071AGL	110	Agannygal
1251BOL	110	Booltiagh
2121DRU	110	Drumline 
2231DYN	110	
2361ENN	110	Ennis 
3941MP	110	Moneypoint
5221TBK	110	Tullabrack 
52219TBKT	110	Tullabrack 
1101ANR	110	Anner 
1361BDN	110	Ballydine 
1461BAR	110	Barrymore 
14619BART	110	Barrymore 
1481BUT	110	Butlerstown 
1721CAH	110	Cahir 
17261CAHR_CAP	110	Cahir 
2001CUL	110	Cullenagh 
2141DGN	110	Dungarvan 
2161DOO	110	Doon 
21661DOON_CAP	110	Doon 
2241DAL	110	Dallow 
22419DALT	110	Dallow 
3101IKE	110	Ikerrin 
31019IKET	110	Ikerrin 
3401KTN	110	Killoteran
3621LSN	110	Lisheen 
4941SH	110	Shannonbridge 
5301THU	110	Thurles 
53061THUR_CAP	110	Thurles 
5381TIP	110	Tipperary 
5441WAT	110	Waterford 
1121ARK	110	Arklow
1231BWR	110	Ballywater
1301BEG	110	Ballybeg 
1331BCD	110	
1541BOG	110	Banoge 
1841CRA	110	Crane 
1901CLW	110	Carlow
2031CLD	110	
2741GI	110	Great Island 
3261KKY	110	Kilkenny 
3341KLS	110	Kellis 
3441KMY	110	Kilmurry
3641LWD	110	Lodgewood
4441PA	110	Pollaphuca
4901SHE	110	Shelton Abbey
4911SHE	110	Shelton Abbey
5061STR	110	Stratford 
50619STRT	110	Stratford 
5501WEX	110	Wexford 
55061WEXF_CAP	110	Wexford 
1081AHA	110	Ahane
1131ATE	110	
1161AUG	110	Aughinish 
1241BCM	110	Ballycummin
1611CKN	110	Clonkeen
1651CLH	110	
1771CHO	110	
1781CFM	110	Castlefarm
1791CFM	110	Castlefarm
1971CGL	110	Coomagearlahy
2731GAE	110	
3281KLN	110	Killonan 
3301KER	110	Knockearagh
3541LIM	110	Limerick 
3901MTN	110	Moneteen
3981MUN	110	Mungret
3991MUN	110	Mungret
4261NEN	110	Nenagh
4361OUG	110	Oughtragh 
43619OUGT	110	Oughtragh 
4681RAT	110	Rathkeale
5051SK	110	Sealrock
5071SK	110	Sealrock
5141TB	110	Tarbert 
5261TRI	110	Trien 
52661TRIE_CAP	110	Trien 
5281TRL	110	Tralee 
52861TRAL_CAP	110	
1221ATY	110	Athy
1321BLK	110	Blake
13219BLKT	110	Blake
1351BDA	110	
1941CUS	110	Cushaling
2261DER	110	Derryiron
2301DFR	110	Dunfirth 
23019DFRT	110	Dunfirth 
3241KTL	110	Kilteel 
3381KIN	110	Kinnegad
4081MON	110	Monread
4201NEW	110	Newbridge 
4481PLS	110	Portlaoise 
5321TSB	110	Thornsberry 
1061ARI	110	Arigna 
10619ARIT	110	Arigna 
1141ATH	110	Athlone
11461ATH_CAP	110	Athlone
1341BIN	110	Binbane 
1401BK	110	Bellacorick 
14061BELL_CAP	110	
1571BUN	110	Bunbeg
1631CDY	110	Corderry
1641CSH	110	Cashla 
16411CASHLA	110	
16461CASH_CAP	110	
1661CBR	110	Castlebar 
16661CBAR_CAP	110	
16662CBAR_SVC	110	
1701CF	110	Cathaleen's Fall
17061CATH_CAP	110	
1761CL	110	Cliff
1821CLN	110	Cloon 
1831CAM	110	
1861COS	110	Carrick-on-Shannon 
1931CUN	110	Cunghill
1981COR	110	Corraclassy 
2281DLT	110	Dalton 
22861DALT_CAP	110	Dallow 
2321DRM	110	Drumkeen
2521FLA	110	Flagford 
2681GIL	110	Gilra 
2781GAL	110	Galway 
2801GOL	110	Golagh
28019GOLT	110	Golagh
2821GWE	110	Gortawee
28261GWE_CAP	110	Gortawee
3361KTY	110	Kiltoy
3501LA	110	Lanesboro 
3581LET	110	Letterkenny 
35861LKY_CAP	110	
35862LKY_SVC	110	
4001MUL	110	Mullingar 
4041MOY	110	Moy 
40461MOY_CAP	110	Moy 
4071MEE	110	Meentycat
4701RIC	110	Richmond
4711RIC	110	Richmond
4981SLI	110	Sligo 
49861SLIG_CAP	110	Sligo 
4991SOR	110	
5001SOM	110	Somerset 
50019SOMT	110	Somerset 
5041SRA	110	Srananagh
5191TIV	110	
5241TAW	110	Tawnaghmore
5251TAW	110	Tawnaghmore
5341TON	110	Tonroe 
5361TLK	110	Trillick 
10F_M_____	38	
11FMN_LOOP	38	
12BEDFORD	38	
13M_R_____	38	
14F_I_____	38	
14204BLACKROC	38	
15I_M_____	38	
18004COOKSTOW	38	
25404FRANCIS	38	
27004GLASMORE	38	
27604GRANGE	38	
28604GRANGEC	38	
30804INCHICOR	38	
42404NORTHWA	38	
46504RINGSEND	38	
21004DUNDALK	38	
21804DRYBRIDG	38	
35604LISDRUM	38	
38204MEATHHIL	38	
42204NAVAN	38	
49604SHANKILL	38	
17404CARRICKM	38	
24804FASSAROE	38	
25604FINGLAS	38	
27204GRIFFINR	38	
12804BALLYLIC	38	
13804BARNAHEL	38	
14404BANDON	38	
